,guide,perm_p,e_dist,lim_perm_p,lim_e_dist,significant
0,TPM1_g2,0.5634365634365635,1.3162368736572674,0.5574425574425574,1.3162368736572674,False
1,NKX2-5_g1,0.5594405594405595,1.3162368736572674,0.5604395604395604,1.3162368736572674,False
2,LMNA_g1,0.5374625374625375,1.3162368736572674,0.5654345654345654,1.3162368736572674,False
3,TNNC1_g1,0.5844155844155844,1.3162368736572674,0.5504495504495505,1.3162368736572674,False
4,SCN5A,0.5544455544455544,1.3162368736572674,0.5754245754245755,1.3162368736572674,False
5,TTN_g2,0.5404595404595405,1.3162368736572674,0.5644355644355644,1.3162368736572674,False
6,DES,0.5844155844155844,1.3162368736572674,0.5594405594405595,1.3162368736572674,False
7,TNNT2_g1,0.5414585414585414,1.3162368736572674,0.5394605394605395,1.3162368736572674,False
8,BAG,0.5344655344655345,1.3162368736572674,0.5504495504495505,1.3162368736572674,False
9,TPM1,0.5744255744255744,1.3162368736572674,0.5854145854145855,1.3162368736572674,False
10,SCN5A_g2,0.5894105894105894,1.3162368736572674,0.5384615384615384,1.3162368736572674,False
11,TDA,0.5624375624375625,1.3162368736572674,0.5404595404595405,1.3162368736572674,False
12,TTN_g1,0.5354645354645354,1.3162368736572674,0.5394605394605395,1.3162368736572674,False
13,TPM1_g1,0.5804195804195804,1.3162368736572674,0.5464535464535465,1.3162368736572674,False
14,TBX20_g1,0.5734265734265734,1.3162368736572674,0.5344655344655345,1.3162368736572674,False
15,TNNT2_g2,0.5254745254745254,1.3162368736572674,0.5504495504495505,1.3162368736572674,False
16,DES_g2,0.5644355644355644,1.3162368736572674,0.5364635364635365,1.3162368736572674,False
17,TDA_MYH7,0.5334665334665335,1.3162368736572674,0.5814185814185814,1.3162368736572674,False
18,NKX2,0.5704295704295704,1.3162368736572674,0.5464535464535465,1.3162368736572674,False
19,BAG3_g1,0.5504495504495505,1.3162368736572674,0.5384615384615384,1.3162368736572674,False
20,TDA_MYH6,0.5624375624375625,1.3162368736572674,0.5454545454545454,1.3162368736572674,False
21,TNNC1,0.5744255744255744,1.3162368736572674,0.5404595404595405,1.3162368736572674,False
22,SCN5A_g1,0.5344655344655345,1.3162368736572674,0.5664335664335665,1.3162368736572674,False
23,TNNT2,0.5344655344655345,1.3162368736572674,0.5784215784215784,1.3162368736572674,False
24,BAG3_g2,0.5614385614385614,1.3162368736572674,0.5644355644355644,1.3162368736572674,False
25,TBX20_g2,0.5634365634365635,1.3162368736572674,0.5664335664335665,1.3162368736572674,False
26,TBX20,0.5374625374625375,1.3162368736572674,0.5384615384615384,1.3162368736572674,False
27,NKX2-5_g2,0.5434565434565435,1.3162368736572674,0.5544455544455544,1.3162368736572674,False
28,TTN,0.5454545454545454,1.3162368736572674,0.5184815184815185,1.3162368736572674,False
29,TNNC1_g2,0.5564435564435565,1.3162368736572674,0.5434565434565435,1.3162368736572674,False
30,FLNC_g1,0.5424575424575424,1.3162368736572674,0.5554445554445554,1.3162368736572674,False
31,DES_g1,0.5454545454545454,1.3162368736572674,0.5414585414585414,1.3162368736572674,False
