,guide,perm_p,e_dist,lim_perm_p,lim_e_dist,significant
0,TPM1_g2,0.0979020979020979,1.4634906830519654,0.0959040959040959,1.4634906830519654,False
1,NKX2-5_g1,0.3706293706293706,2.663239972599321,0.3836163836163836,2.663239972599321,False
2,LMNA_g1,0.4855144855144855,1.101986783044211,0.4985014985014985,1.101986783044211,False
3,TNNC1_g1,0.002997002997002997,3.134908723529634,0.006993006993006993,3.134908723529634,True
4,SCN5A,0.15884115884115885,0.9232027382057169,0.19480519480519481,0.9232027382057169,False
5,TTN_g2,0.0899100899100899,1.4284818195807318,0.08591408591408592,1.4284818195807318,False
6,DES,0.13186813186813187,2.8103012764163537,0.13886113886113885,2.8103012764163537,False
7,TNNT2_g1,0.015984015984015984,4.072331014869064,0.017982017982017984,4.072331014869064,True
8,BAG,0.5754245754245755,1.3162368736572674,0.5374625374625375,1.3162368736572674,False
9,TPM1,0.03296703296703297,1.115781140947476,0.03896103896103896,1.115781140947476,True
10,SCN5A_g2,0.1048951048951049,1.493346792644111,0.11688311688311688,1.493346792644111,False
11,TDA,0.0959040959040959,0.9938262482620743,0.08391608391608392,0.9938262482620743,False
12,TTN_g1,0.1258741258741259,1.5213408073199588,0.11888111888111888,1.5213408073199588,False
13,TPM1_g1,0.08691308691308691,2.2295782644608337,0.07692307692307693,2.2295782644608337,False
14,TBX20_g1,0.3246753246753247,2.999371326180153,0.32367632367632365,2.999371326180153,False
15,TNNT2_g2,0.006993006993006993,4.753041320029489,0.003996003996003996,4.753041320029489,True
16,DES_g2,0.7122877122877123,4.657832237994455,0.6753246753246753,4.657832237994455,False
17,TDA_MYH7,0.13486513486513488,1.707381055833146,0.11888111888111888,1.707381055833146,False
18,NKX2,0.08891108891108891,0.9598014760297531,0.09290709290709291,0.9598014760297531,False
19,BAG3_g1,0.1938061938061938,4.0821337271159805,0.1878121878121878,4.0821337271159805,False
20,TDA_MYH6,0.8461538461538461,1.0182652680686033,0.8321678321678322,1.0182652680686033,False
21,TNNC1,0.005994005994005994,1.8852012056318301,0.00999000999000999,1.8852012056318301,True
22,SCN5A_g1,0.24175824175824176,2.8459117252482358,0.23276723276723277,2.8459117252482358,False
23,TNNT2,0.000999000999000999,2.839459269884969,0.000999000999000999,2.839459269884969,True
24,BAG3_g2,0.951048951048951,1.7768151006839972,0.961038961038961,1.7768151006839972,False
25,TBX20_g2,0.003996003996003996,2.5684063095254075,0.000999000999000999,2.5684063095254075,True
26,TBX20,0.000999000999000999,2.1147302881117724,0.000999000999000999,2.1147302881117724,True
27,NKX2-5_g2,0.15184815184815184,1.1127809760579055,0.14985014985014986,1.1127809760579055,False
28,TTN,0.012987012987012988,1.1723949985760171,0.00999000999000999,1.1723949985760171,True
29,TNNC1_g2,0.6823176823176823,1.7931217924929115,0.6613386613386614,1.7931217924929115,False
30,FLNC_g1,0.08491508491508491,1.5139529352702041,0.08891108891108891,1.5139529352702041,False
31,DES_g1,0.10989010989010989,4.3268486148190775,0.1088911088911089,4.3268486148190775,False
